sulfur,pm25
0.4,7.2
0.5,7.9
0.6,8.1
0.8,10.1
0.8,9
0.7,6.5
0.7,5
0.7,4.9
0.7,7.3
0.6,7.9
1.5,8.5
0.9,5.7
0.9,6.4
1.1,8.6
0.9,8.8
0.9,6.7
0.9,9.5
0.8,8.9
1.1,10.6
0.9,9.4
1.6,9
1.7,8.4
0.7,6.4
0.6,7.4
0.3,8.5
0.3,5.6
0.5,9.2
0.5,8
0.4,5.5
0.3,7.5
0.4,5.1
0.5,7.1
0.4,5.5
0.5,5.8
0.4,6.6
0.5,7
0.3,7.3
0.2,4.7
0.5,4.8
1,8.5
0.8,9.6
1.1,9.7
1.3,10.8
1.2,12.3
1,8.1
1,6.3
1,6
1.1,7.3
1,7.9
0.7,8.3
1.1,9.6
1.4,13
0.9,14.5
1.2,14.2
0.9,9.4
0.7,7.8
0.9,8.9
0.9,10.1
1.3,13.6
1.7,12.8
1.3,8.9
1.3,6.3
1.2,7
0.8,5.7
0.8,5.3
1,7.3
0.8,8.1
0.7,6.9
0.5,6.3
0.6,5.3
0.6,5.3
0.6,5.9
0.6,7.6
1,9.5
1,9.2
1.1,8.7
1.5,6.3
0.8,8
0.5,6
0.5,5
0.9,7.9
1.1,9.7
0.7,5.3
1.3,10.6
0.8,8.3
0.6,6.3
0.8,9.1
0.9,7.3
1,6.2
0.9,4.8
1.2,9.2
1.7,9.4
1.7,11.1
1.3,17.4
1.3,13.5
1.4,11.3
1.6,13
1.7,15.9
1.5,16.8
1.5,14
1.1,10.1
1,10.2
1.4,14.7
1.2,13.1
1,8
1,9.3
0.9,9.1
0.7,8.6
0.5,8.1
0.7,9.3
0.7,8.6
0.7,8.3
1.1,8.3
0.8,8.9
0.6,5.8
0.7,7.6
0.7,9.1
0.4,4.1
0.3,3.9
0.2,3.7
0.3,3.9
0.8,5.6
1,7.5
1,10
0.6,8.7
0.6,4.9
1,5.9
1.1,10.1
1.2,7.1
1,8.2
0.8,3.9
1.1,8.1
1.4,12.1
1.2,12
0.8,5.7
0.2,6.7
0.3,6.5
0.5,10.1
0.8,11.7
0.5,6.4
0.6,6.6
0.5,6.6
0.7,6.2
1,7.1
0.4,5.6
1,10
0.9,9
0.6,7.6
1,5.9
1.5,7.9
1.4,7.7
1.6,7.7
1.5,6.6
1.5,8.6
1.3,7.8
1.6,6
1,5.8
1.1,6.7
1.1,6.6
1,5.2
1.2,5
1.5,8.6
1.3,6.7
1,7.1
1,11.1
1.5,10.5
0.9,6.1
1.5,10.9
1.3,6.6
0.7,5.4
0.8,4.7
1,6.9
0.9,8.2
0.9,10.3
0.9,8.8
0.7,6
1.1,11.5
1.7,13.9
2.5,15.4
1.1,6.5
1.4,8.3
1.6,8.7
