temp,wind
52.7,4.8
58.6,4.5
62,3
65.3,10.3
63.9,5.3
63.8,3.7
65.9,2.4
68.7,5.4
69.6,6.1
70.5,7.5
69,8.5
62.9,10.7
51.2,4.4
53.2,3.6
58.2,4.1
60,3.5
61.1,9.6
56.7,3.6
57.9,3.5
63.7,5.7
67.5,6.9
69.2,3.8
68.5,4
67.8,5.7
61.7,10.4
64.3,8.7
59.5,10
54.1,5.8
57.3,4.5
53.1,4.8
45.6,5.2
46.9,7.7
45.2,7
74.9,6.2
79.8,5
82.1,4.8
82.6,6
77,6.2
80.7,3.9
82.7,3.8
83.1,6.3
83.7,4.8
83.9,4.3
82.8,4.1
81.9,5.7
81.4,4.9
83.6,4.2
82.3,6.2
83.6,4.7
84.5,4.4
84,5.9
84.3,6.6
83,8.8
76.4,10.5
72.8,7.2
75,6.8
75.4,4.2
74.3,6
70.2,5.2
71.9,5.8
72.1,8.2
72.8,6.8
65.2,7.3
66.5,4.3
69.2,4
74,6
75.4,5.4
76.7,6.4
77.3,4.1
76.1,5.3
77.6,4.1
80,8.1
69.4,10.7
69.7,6
73.7,13
61.7,4.9
65.1,8.2
62.3,6.7
64.1,10.1
68.9,7.4
72.7,6.2
70,6.7
68,3.4
70.2,3.2
72.8,3.4
71.8,7.7
69.5,6.6
72.3,3.3
68.9,13.1
58.4,9.9
59.8,3.7
63.2,4.1
65.9,4.5
69.4,5.9
67.1,4.5
66.6,5.5
59.8,7.4
56.3,6.1
61.9,3.1
64.5,2.8
65.6,2.6
66.6,3.2
66.1,4.9
64.1,6.5
59.6,4.1
58.2,5
59.2,4.5
60.8,4.1
62.7,6.4
63.2,9.1
