nitrogen,pm25
6.7,7.2
5.4,7.9
4.4,8.1
3.9,10.1
3.4,9
9.3,6.5
6.2,5
4.8,4.9
7.7,7.3
4.8,7.9
12.3,8.5
5.5,5.7
9.7,6.4
13.8,8.6
9.8,8.8
9.1,6.7
15.4,9.5
13.1,8.9
17,10.6
11.9,9.4
10.4,9
9.6,8.4
5,6.4
7.9,7.4
4.7,8.5
4.9,5.6
21.5,9.2
17.2,8
7.5,5.5
9.7,7.5
11.1,5.1
11.3,7.1
5,5.5
9.3,5.8
10.8,6.6
12.6,7
7.3,7.3
2.2,4.7
1.5,4.8
13.8,8.5
14.1,9.6
18.1,9.7
14.7,10.8
21.1,12.3
13.4,8.1
9.2,6.3
9.8,6
12,7.3
14.8,7.9
3.9,8.3
17.3,9.6
20.3,13
20.7,14.5
29.9,14.2
16.2,9.4
12.7,7.8
16.9,8.9
19.2,10.1
20.6,13.6
21.6,12.8
15.1,8.9
11.9,6.3
9.9,7
4,5.7
5.2,5.3
7.4,7.3
12.8,8.1
10.9,6.9
6.2,6.3
10.7,5.3
7.5,5.3
10.4,5.9
10.8,7.6
11.2,9.5
16.5,9.2
17.6,8.7
25.8,6.3
4.3,8
8.5,6
7.6,5
18.5,7.9
15.3,9.7
6.9,5.3
21.9,10.6
10.2,8.3
3,6.3
10.6,9.1
1,7.3
1.2,6.2
1.8,4.8
15.3,9.2
15.2,9.4
14.9,11.1
8.4,17.4
8.7,13.5
5.8,11.3
10.9,13
19.2,15.9
8.7,16.8
4.5,14
0.7,10.1
9.1,10.2
17.8,14.7
16.4,13.1
6.7,8
4.2,9.3
5.4,9.1
2.4,8.6
4,8.1
4.3,9.3
6.8,8.6
6.6,8.3
9,8.3
3.3,8.9
3.8,5.8
14.7,7.6
10.2,9.1
2.3,4.1
2.7,3.9
3.2,3.7
3.8,3.9
8,5.6
10.2,7.5
9.3,10
2.7,8.7
3.5,4.9
8.1,5.9
15.8,10.1
7.4,7.1
6.6,8.2
3,3.9
10.8,8.1
18.2,12.1
15.9,12
6.1,5.7
2.5,6.7
10.4,6.5
21,10.1
20,11.7
9.6,6.4
8,6.6
6.1,6.6
10.7,6.2
14,7.1
2.7,5.6
20.2,10
11.7,9
0.5,7.6
4.8,5.9
12.6,7.9
6.5,7.7
12.5,7.7
10.6,6.6
13.8,8.6
12.3,7.8
13.6,6
9.1,5.8
16.1,6.7
14.1,6.6
13,5.2
15.1,5
21.1,8.6
16.2,6.7
7.2,7.1
19.2,11.1
21.2,10.5
13.4,6.1
27,10.9
14.5,6.6
4.5,5.4
5.6,4.7
14.2,6.9
16.1,8.2
14.9,10.3
