pm10,pm25
30,10.6
13.9,6.3
17.8,6.5
32.5,8.9
42.4,10.7
22.4,4.9
30.1,7.4
33.2,8.4
50.4,10.1
33.1,8.1
18.1,7.3
28.1,10.1
35.2,12.3
31.8,10
34.1,8.9
27.6,9.8
31.8,10.3
33.8,8.9
41.8,11.9
47.8,15.5
52.9,18.1
32.3,12.6
35.4,9.7
39.8,10.2
34.8,8.6
23.3,7.9
32.8,13.5
34.4,12.4
16.8,6.8
20.5,7
29.4,9.3
13.5,4.4
17.1,5
29,6.8
18,5.4
17.1,5.6
27.2,10.6
98.2,29.4
66,20.3
85.2,16.5
85.4,21.9
38.7,17.5
27.7,11.4
52.4,14.3
48.2,14.8
88.8,19.3
35.8,9.9
28.7,10.2
32.9,10
26.7,7.8
23.4,5
36.3,8.7
32,7.4
32.7,8.2
22.2,6.6
17,4.5
15.9,4.9
12.9,4.1
16.4,4.2
19.9,6.5
13.4,5.1
16.1,7.2
13.8,6.5
14.7,7.1
20.7,6.8
20.5,7.7
27.2,9.2
20.4,6.8
30.2,9.5
22.6,5.9
32.4,7.9
32.3,8.7
62.4,12.6
43.7,12.4
29.4,9.2
22.6,7.4
19.9,5.9
21.6,7
27.3,8.6
24.6,8.5
28.1,10.8
32.6,10.7
35,11.3
23.1,6.6
25.9,8.5
34.6,11.3
67,11.5
15,4.7
28.2,9.3
37.9,10.9
32.9,11
27.1,9.3
40,11.2
20.4,5.8
25.1,6
30.4,7.7
36.8,10.5
46.8,14.6
44.7,13.6
39.9,11.5
24.5,6.1
24,5.5
29.8,7.4
27.6,6
44.4,11.2
33.1,9
19.5,3.8
23.3,3.6
