pm25,temp
7.2,73.8
7.9,77.7
8.1,80.5
10.1,82.2
9,83.3
6.5,74.1
5,73.3
4.9,75.3
7.3,79.9
7.9,74.9
8.5,75.9
5.7,78.6
6.4,78.2
8.6,79.9
8.8,81
6.7,79.7
9.5,79.4
8.9,80.5
10.6,82.1
9.4,84.2
9,84.1
8.4,83.3
6.4,79.9
7.4,73.7
8.5,70.4
5.6,60.6
9.2,64.5
8,72.2
5.5,76.3
7.5,69.2
5.1,73.5
7.1,75.5
5.5,76.7
5.8,71
6.6,72.6
7,74.4
7.3,67.1
4.7,65.3
4.8,69.8
8.5,73.2
9.6,77.1
9.7,77.4
10.8,73.7
12.3,73.2
8.1,75.6
6.3,76.6
6,76.2
7.3,74.8
7.9,74.1
8.3,67.4
9.6,67.2
13,69.4
14.5,71
14.2,72.9
9.4,74.4
7.8,72.8
8.9,74.7
10.1,72.4
13.6,72.5
12.8,72
8.9,72.9
6.3,73
7,70.2
5.7,64.8
5.3,64.3
7.3,66.4
8.1,62.9
6.9,63.8
6.3,63.3
5.3,55.4
5.3,54.8
5.9,57.3
7.6,57.8
9.5,58.2
9.2,60.2
8.7,61.5
6.3,62.6
8,67.6
6,55
5,52.7
7.9,56.6
9.7,59.9
5.3,55.9
10.6,53.4
8.3,53.8
6.3,54.2
9.1,55
7.3,59.6
6.2,49.7
4.8,47.2
9.2,42.2
9.4,81
11.1,82.1
17.4,82.5
13.5,81.8
11.3,81.5
13,79.1
15.9,82.1
16.8,81.5
14,79.7
10.1,79.5
10.2,80.6
14.7,82.6
13.1,84.5
8,83.6
9.3,82.3
9.1,80.3
8.6,80.7
8.1,81.9
9.3,82.2
8.6,81.3
8.3,83.2
8.3,83.9
8.9,79.4
5.8,76.6
7.6,75.4
9.1,72.5
4.1,65.7
3.9,68.3
3.7,71.1
3.9,71.1
5.6,76.8
7.5,80.3
10,78.9
8.7,78.5
4.9,80.9
5.9,80.5
10.1,70.4
7.1,73
8.2,73.2
3.9,59.3
8.1,67.2
12.1,75.7
12,78.9
5.7,79.2
6.7,65.9
6.5,67.3
10.1,71.1
11.7,72.8
6.4,72
6.6,71.8
6.6,70.9
6.2,66.3
7.1,68
5.6,63.4
10,62.3
9,69.8
7.6,55.5
5.9,55.3
7.9,61.7
7.7,65.4
7.7,57.7
6.6,66.2
8.6,65.7
7.8,67.8
6,64.5
5.8,69
6.7,68.6
6.6,68.5
5.2,57.2
5,55.9
8.6,62.5
6.7,67.1
7.1,64.1
11.1,62.8
10.5,67.7
6.1,66.6
10.9,65.9
6.6,69.8
5.4,59.5
4.7,52.7
6.9,53.8
8.2,60.4
10.3,57.2
8.8,57.8
6,63.3
11.5,63.1
13.9,62.2
15.4,61.7
6.5,65
8.3,52.5
8.7,57.4
8.7,82.2
4.9,76.3
3.3,78
3.3,80.8
6.1,80.2
5.1,71.8
4.9,73.8
4.8,75.5
6.7,78.2
5.8,81.2
6.9,81
7.7,83.2
6.4,84
6.1,82.6
3.4,80.5
2.9,78.4
3.4,79.5
3.3,79.8
4.4,79.2
3.8,70.3
4.3,73.4
4.5,71
5.8,73.3
7.6,77.3
5.4,80.9
5.8,72
6.9,73.5
9.7,79.6
6.8,80.2
5.2,79.3
6.8,77.8
6.4,79.8
7.3,79.4
5.3,80.6
4.6,80.4
4.7,78.3
4.9,74.8
4.5,57.2
3.6,59.9
9.3,64.1
8.8,69.5
4.2,61.5
3.9,63
5.6,65.2
3.4,46.1
3.8,46.8
3.9,50.6
3.2,51.5
3.9,60
4.4,64.1
4.6,61.9
5.1,63.4
4.4,63
5.8,61.8
6.6,63.8
8.6,63.5
8.4,64.4
10.7,65.3
9,67.4
5.6,68
6.1,57.9
4.7,54.1
5.9,57.1
4.3,62.2
4.9,59.3
5.3,66.8
5.5,66.9
5.2,66.5
4.7,66
6,52
7.3,52.3
7.2,57.3
4.7,40.9
7.2,37.1
16.7,42.7
13.1,47.7
11.3,49.6
9.3,55.8
13,52.8
11.7,52.3
7.7,53.5
16,53.9
11.7,53.5
4.6,55.5
5,56.7
5.3,52.1
8.5,49.5
8.6,49.5
7.4,56.5
8.3,59.7
9.6,53.6
8,84.9
6.5,84.9
7.5,84.8
8,84.1
7.9,82.7
6,85.3
6,85.2
5.8,82.3
5.5,79.8
5.2,80.3
5,82
5.2,83
5.5,80.2
5.9,77.8
5.7,71.5
6,75.2
4.1,79.2
4.2,81.7
4.3,82.9
4.9,83.1
5.8,72
5.6,75
3.9,79.8
3.9,75.6
4.5,77
4.9,78.9
5.8,76.6
5.7,76.9
6,79.1
7.7,75.7
4.3,72.7
5.8,71.3
6,74.5
8,72.3
7.9,76
6.2,76.8
7.4,68.2
8.1,71.7
7,74.1
