wind,pm10
5.3,17.8
3.7,32.5
2.4,42.4
5.4,22.4
6.1,30.1
7.5,33.2
8.5,50.4
10.7,33.1
4.4,18.1
3.6,28.1
4.1,35.2
3.5,31.8
9.6,34.1
3.6,27.6
3.5,31.8
5.7,33.8
6.9,41.8
3.8,47.8
4,52.9
5.7,32.3
10.4,35.4
8.7,39.8
10,34.8
5.8,23.3
4.5,32.8
4.8,34.4
5.2,16.8
7.7,20.5
7,29.4
6.2,13.5
5,17.1
4.8,29
6,18
6.2,17.1
3.9,27.2
3.8,98.2
6.3,66
4.8,85.2
4.3,85.4
4.1,38.7
5.7,27.7
4.9,52.4
4.2,48.2
6.2,88.8
4.7,35.8
4.4,28.7
5.9,32.9
6.6,26.7
8.8,23.4
10.5,36.3
7.2,32
6.8,32.7
4.2,22.2
6,17
5.2,15.9
5.8,12.9
8.2,16.4
6.8,19.9
7.3,13.4
4.3,16.1
4,13.8
6,14.7
5.4,20.7
6.4,20.5
4.1,27.2
5.3,20.4
4.1,30.2
8.1,22.6
10.7,32.4
6,32.3
13,62.4
4.9,43.7
8.2,29.4
6.7,22.6
10.1,19.9
7.4,21.6
6.2,27.3
6.7,24.6
3.4,28.1
3.2,32.6
3.4,35
7.7,23.1
6.6,25.9
3.3,34.6
13.1,67
9.9,15
3.7,28.2
4.1,37.9
4.5,32.9
5.9,27.1
4.5,40
5.5,20.4
7.4,25.1
6.1,30.4
3.1,36.8
2.8,46.8
2.6,44.7
3.2,39.9
4.9,24.5
6.5,24
4.1,29.8
5,27.6
4.5,44.4
4.1,33.1
6.4,19.5
9.1,23.3
