pm10,humidity
17.8,66.6
22.2,54.2
22.5,47.9
24.7,45.9
25.4,42
19.2,66
17,69.8
16.2,55.7
22.1,42.5
34.4,41.7
31.1,47.5
25.1,35.9
24.5,33.6
30.9,33.7
28.9,41.8
23.8,30.1
30.6,28
29.2,28.3
39.9,19.4
30.7,29.6
30.1,30.4
30.7,27
24.6,26.4
25.6,34.4
35.6,29.5
18.9,55.3
33.6,47.6
27.6,50.6
18.7,39
20.9,63.8
15.6,46.8
24.8,28.5
20.6,36.3
22.3,24.8
23,23.1
25.6,23
33.6,35.2
15.7,65.4
16.2,60.8
29.2,51.7
30.9,40.9
32.5,24.2
38.6,37.6
42.1,35.4
28.5,20.8
24.2,17.4
25.1,17.4
28.2,16.1
30.7,17.5
40.4,28.6
37.3,32.1
40.5,37.3
44,32.1
47.6,27.7
33.4,25.7
25.3,29.5
33,27.3
36.7,32.6
45.1,30.4
44,28.6
36.6,24.5
29.7,23.9
31.5,35.7
26.1,56.9
22.6,67.2
28,67.3
24.9,61.4
21.4,44.5
23.7,33.4
21,36.1
17.9,57
19.7,53.8
20.9,51.3
24.4,50
32.9,34.9
33.5,27.6
33.4,26.1
53.4,23.2
26.1,18.3
23.9,26.2
28.6,32.2
34.2,41
21,40.7
38.8,35.4
25.8,31
23.3,31.6
23.5,58.4
33,32.7
35.2,36.9
18.6,34.8
23.5,34.5
35,20.4
35.1,21.1
38.9,25
29.9,26.2
32.9,27.7
43,33.8
48.8,27.9
44.6,28.7
31,27
25.1,31.4
29,23.6
42.4,19.6
43,19.6
28.1,24.6
31.3,28.9
27.4,36.3
29.5,32.9
30.6,29.8
33.7,31.3
30.2,27.5
27.4,25.4
29.9,21.9
31.5,36.7
20.3,26.8
28.5,25.1
31,43.9
14.4,72.4
15.6,68.2
16.2,59.5
16.6,62.3
22.5,46.3
28.6,23.1
31.2,30.8
21.8,52.4
24.3,48.9
24.6,38.4
38.3,18.8
34.5,19
36.3,25.9
23.4,36.5
28.7,36
40.2,40.5
39,38.3
20.6,32.6
33.5,22.3
24.7,25.9
37.1,30.5
46.1,35.8
30.3,42.5
26.5,38.8
26.8,28.2
26.6,16.7
30,22.2
35.3,25.7
40.5,25.8
47.2,24.1
58,31.9
31.1,30.5
32.4,24.8
36.7,25.6
35.4,40.6
29.7,30.3
28.5,32.5
24.3,31.7
28.7,43.5
21.4,45.2
25.7,27.7
26,29.5
25,70.1
23,62.9
35.4,52.3
25.7,38.3
25.4,36.7
39.7,49.1
39.2,38.4
28,20.5
42.7,23.8
30.9,17.6
25.4,25.9
26,20.4
32,26.8
37.2,17.6
46.5,26.4
36.9,29.1
26.8,22.5
40.3,23.5
47.9,29.8
59.1,29
34.7,19.8
35.8,36.8
39.2,31.5
51.1,33.8
19.3,44.8
17.1,39.8
21,32.1
30.6,39.1
19.2,66.3
20.1,56.7
22.2,44.6
26.3,40.1
28.4,32.1
31.6,35.3
38.2,26.3
34.8,24.9
26.9,30.1
22,37.9
17.5,44.8
22.1,45.6
23.2,51.9
24.1,49.6
18.3,74.6
18.1,57.9
23.9,47.8
27,36.9
36.4,29.5
29,32
26.2,46.1
32.4,46
42.5,29.4
30.9,28.2
26.3,28.1
26.2,43.8
22.5,46.4
37.4,39.9
