pm10,temp
35.3,58.6
30,62
13.9,65.3
17.8,63.9
32.5,63.8
42.4,65.9
22.4,68.7
30.1,69.6
33.2,70.5
50.4,69
33.1,62.9
18.1,51.2
28.1,53.2
35.2,58.2
31.8,60
34.1,61.1
27.6,56.7
31.8,57.9
33.8,63.7
41.8,67.5
47.8,69.2
52.9,68.5
32.3,67.8
35.4,61.7
39.8,64.3
34.8,59.5
23.3,54.1
32.8,57.3
34.4,53.1
16.8,45.6
20.5,46.9
29.4,45.2
13.5,74.9
17.1,79.8
29,82.1
18,82.6
17.1,77
27.2,80.7
98.2,82.7
66,83.1
85.2,83.7
85.4,83.9
38.7,82.8
27.7,81.9
52.4,81.4
48.2,83.6
88.8,82.3
35.8,83.6
28.7,84.5
32.9,84
26.7,84.3
23.4,83
36.3,76.4
32,72.8
32.7,75
22.2,75.4
17,74.3
15.9,70.2
12.9,71.9
16.4,72.1
19.9,72.8
13.4,65.2
16.1,66.5
13.8,69.2
14.7,74
20.7,75.4
20.5,76.7
27.2,77.3
20.4,76.1
30.2,77.6
22.6,80
32.4,69.4
32.3,69.7
62.4,73.7
43.7,61.7
29.4,65.1
22.6,62.3
19.9,64.1
21.6,68.9
27.3,72.7
24.6,70
28.1,68
32.6,70.2
35,72.8
23.1,71.8
25.9,69.5
34.6,72.3
67,68.9
15,58.4
28.2,59.8
37.9,63.2
32.9,65.9
27.1,69.4
40,67.1
20.4,66.6
25.1,59.8
30.4,56.3
36.8,61.9
46.8,64.5
44.7,65.6
39.9,66.6
24.5,66.1
24,64.1
29.8,59.6
27.6,58.2
44.4,59.2
33.1,60.8
19.5,62.7
23.3,63.2
