pm25,ozone
7.2,34
7.9,38
8.1,34
10.1,33
9,31
6.5,20
5,19
4.9,23
7.3,29
7.9,28
8.5,39
5.7,33
6.4,23
8.6,24
8.8,26
6.7,21
9.5,23
8.9,21
10.6,24
9.4,21
9,22
8.4,22
6.4,27
7.4,31
8.5,30
5.6,31
9.2,25
8,20
5.5,39
7.5,33
5.1,25
7.1,23
5.5,21
5.8,29
6.6,26
7,25
7.3,28
4.7,25
4.8,27
8.5,24
9.6,16
9.7,15
10.8,25
12.3,17
8.1,21
6.3,27
6,28
7.3,24
7.9,25
8.3,41
9.6,32
13,25
14.5,25
14.2,18
9.4,22
7.8,19
8.9,30
10.1,20
13.6,22
12.8,20
8.9,20
6.3,22
7,17
5.7,27
5.3,25
7.3,17
8.1,16
6.9,24
6.3,32
5.3,29
5.3,25
5.9,22
7.6,24
9.5,19
9.2,23
8.7,21
6.3,13
8,34
6,29
5,28
7.9,17
9.7,15
5.3,29
10.6,14
8.3,25
6.3,32
9.1,18
7.3,32
6.2,39
4.8,37
9.2,19
9.4,35
11.1,29
17.4,36
13.5,43
11.3,42
13,41
15.9,32
16.8,40
14,46
10.1,47
10.2,39
14.7,40
13.1,28
8,31
9.3,30
9.1,30
8.6,38
8.1,35
9.3,31
8.6,25
8.3,26
8.3,16
8.9,29
5.8,25
7.6,20
9.1,22
4.1,24
3.9,21
3.7,27
3.9,23
5.6,23
7.5,23
10,28
8.7,23
4.9,19
5.9,22
10.1,26
7.1,26
8.2,29
3.9,29
8.1,28
12.1,30
12,20
5.7,30
6.7,38
6.5,35
10.1,28
11.7,22
6.4,30
6.6,28
6.6,27
6.2,25
7.1,19
5.6,34
10,25
9,28
7.6,31
5.9,31
7.9,23
7.7,32
7.7,25
6.6,26
8.6,17
7.8,18
6,13
5.8,18
6.7,16
6.6,10
5.2,15
5,15
8.6,14
6.7,16
7.1,20
11.1,23
10.5,13
6.1,21
10.9,12
6.6,18
5.4,30
4.7,33
6.9,19
8.2,18
10.3,23
8.8,21
6,25
11.5,15
13.9,21
15.4,9
6.5,35
8.7,21
8.7,40
4.9,37
3.3,37
3.3,36
6.1,37
5.1,35
4.9,33
4.8,33
6.7,45
5.8,40
6.9,38
7.7,35
6.4,33
6.1,34
3.4,34
2.9,35
3.4,31
3.3,23
4.4,27
3.8,15
4.3,24
4.5,32
5.8,34
7.6,20
5.4,29
5.8,36
6.9,30
9.7,22
6.8,30
5.2,27
6.8,21
6.4,22
7.3,13
5.3,16
4.6,18
4.7,24
4.9,28
4.5,33
3.6,32
9.3,22
8.8,18
4.2,19
3.9,18
5.6,22
3.4,21
3.8,27
3.9,28
3.2,23
3.9,20
4.4,28
4.6,32
5.1,18
4.4,12
5.8,19
6.6,18
8.6,14
8.4,17
10.7,15
9,17
5.6,20
6.1,21
4.7,20
5.9,20
4.3,30
4.9,30
5.3,29
5.5,27
5.2,22
4.7,26
6,27
7.3,27
7.2,22
4.7,32
7.2,23
16.7,12
13.1,11
11.3,12
9.3,22
13,14
11.7,16
7.7,33
16,21
11.7,15
4.6,31
5,31
5.3,31
8.5,26
8.6,14
7.4,22
8.3,20
9.6,28
8,34
6.5,42
7.5,38
8,43
7.9,38
6,38
6,37
5.8,44
5.5,36
5.2,29
5,24
5.2,32
5.5,31
5.9,32
5.7,33
6,33
4.1,33
4.2,38
4.3,33
4.9,30
5.8,23
5.6,27
3.9,19
3.9,26
4.5,25
4.9,22
5.8,21
5.7,22
6,28
7.7,19
4.3,22
5.8,30
6,25
8,25
7.9,21
6.2,30
7.4,36
8.1,35
7,22
7.1,25
6.8,26
9.6,31
12.2,25
6.6,14
5.7,24
7.3,31
10.9,25
6.5,27
8.1,31
7.7,36
8.7,22
8.8,20
8.6,17
9,26
10.3,21
9.3,21
8.2,34
10.4,33
10,29
14.1,36
8.6,22
15.1,15
12.1,31
11.9,21
10.4,20
10.1,14
9.3,32
6.3,14
9.5,8
9.7,14
8.9,13
6.9,19
5.5,16
7,15
8.4,21
8.7,24
11.4,21
15.2,13
13.7,15
9.8,13
6.5,17
6.9,15
6.3,24
11.4,18
5.9,18
4.6,24
9.3,32
6,25
6.7,12
5.9,23
7.9,35
5,36
7.2,39
10.9,37
6.1,50
5.7,44
6.5,30
10.3,22
11,35
3.1,19
2.6,21
4.4,26
6.4,29
8,45
8.3,36
8.3,34
7.4,32
7.8,44
9.1,46
12.5,48
11.3,43
18.4,37
16.6,39
9.8,34
8.3,28
10,28
7.4,35
6.2,36
12.2,38
8.5,32
12.4,22
9.6,32
8.1,29
7.2,32
11.4,37
13.1,25
13.5,21
14.2,24
15.8,21
10.8,25
7.9,30
7.3,28
14.1,24
17.4,20
11.2,25
7.9,32
8.6,39
8.8,28
8.4,29
9.8,24
10.1,22
11.3,19
8.7,25
7.2,26
8.3,26
6.7,29
8.4,20
6.9,22
7.5,20
6.4,17
11,15
10.6,16
6.3,37
6.5,32
8.9,22
10.7,17
4.9,22
7.4,25
8.4,31
10.1,31
8.1,30
7.3,21
10.1,14
12.3,14
10,18
8.9,31
9.8,22
10.3,9
8.9,15
11.9,25
15.5,21
18.1,20
12.6,32
9.7,25
10.2,21
8.6,31
7.9,23
13.5,21
12.4,20
6.8,24
7,26
9.3,25
4.4,23
5,34
6.8,40
5.4,31
5.6,30
10.6,33
29.4,28
20.3,33
16.5,32
21.9,27
17.5,33
11.4,43
14.3,40
14.8,31
19.3,39
9.9,36
10.2,31
10,37
7.8,40
5,31
8.7,39
7.4,38
8.2,35
6.6,32
4.5,28
4.9,30
4.1,25
4.2,24
6.5,26
5.1,36
7.2,27
6.5,32
7.1,41
6.8,39
7.7,41
9.2,25
6.8,16
9.5,12
5.9,23
7.9,36
8.7,24
12.6,35
12.4,29
9.2,34
7.4,32
5.9,40
7,34
8.6,23
8.5,21
10.8,15
10.7,14
11.3,21
6.6,27
8.5,21
11.3,15
11.5,35
4.7,32
9.3,18
10.9,15
11,17
9.3,26
11.2,17
5.8,17
6,24
7.7,21
10.5,16
14.6,17
13.6,15
11.5,11
6.1,14
5.5,22
7.4,15
6,17
11.2,21
9,18
3.8,27
3.6,34
